Unnamed: 0,book_id,title,year,pages,description,genres,average_rating,ratings_count,books_count,authors
0,1,"The Hunger Games (The Hunger Games, #1)",2008,374,winning means fame and fortunelosing means certain deaththe hunger games have begun   in the ruins of a place once known as north america lies the nation of panem a shining capitol surrounded by twelve outlying districts the capitol is harsh and cruel and keeps the districts in line by forcing them all to send one boy and once girl between the ages of twelve and eighteen to participate in the annual hunger games a fight to the death on live tvsixteenyearold katniss everdeen regards it as a death sentence when she steps forward to take her sisters place in the games but katniss has been close to dead beforeand survival for her is second nature without really meaning to she becomes a contender but if she is to win she will have to start making choices that weight survival against humanity and life against love,"youngadult, fiction, fantasy, sciencefiction, romance",4.34,4780653,272,Suzanne Collins
1,2,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",1997,309,harry potters life is miserable his parents are dead and hes stuck with his heartless relatives who force him to live in a tiny closet under the stairs but his fortune changes when he receives a letter that tells him the truth about himself hes a wizard a mysterious visitor rescues him from his relatives and takes him to his new home hogwarts school of witchcraft and wizardryafter a lifetime of bottling up his magical powers harry finally feels like a normal kid but even within the wizarding community he is special he is the boy who lived the only person to have ever survived a killing curse inflicted by the evil lord voldemort who launched a brutal takeover of the wizarding world only to vanish after failing to kill harrythough harrys first year at hogwarts is the best of his life not everything is perfect there is a dangerous secret object hidden within the castle walls and harry believes its his responsibility to prevent it from falling into evil hands but doing so will bring him into contact with forces more terrifying than he ever could have imaginedfull of sympathetic characters wildly imaginative situations and countless exciting details the first installment in the series assembles an unforgettable magical world and sets the stage for many highstakes adventures to come,"fantasy, fiction, youngadult, classics",4.44,4602479,491,J.K. Rowling
3,4,To Kill a Mockingbird,1960,324,the unforgettable novel of a childhood in a sleepy southern town and the crisis of conscience that rocked it to kill a mockingbird became both an instant bestseller and a critical success when it was first published in 1960 it went on to win the pulitzer prize in 1961 and was later made into an academy awardwinning film also a classiccompassionate dramatic and deeply moving to kill a mockingbird takes readers to the roots of human behavior  to innocence and experience kindness and cruelty love and hatred humor and pathos now with over 18 million copies in print and translated into forty languages this regional story by a young alabama woman claims universal appeal harper lee always considered her book to be a simple love story today it is regarded as a masterpiece of american literature,"classics, fiction, historicalfiction, youngadult",4.25,3198671,487,Harper Lee
5,6,The Fault in Our Stars,2012,313,despite the tumorshrinking medical miracle that has bought her a few years hazel has never been anything but terminal her final chapter inscribed upon diagnosis but when a gorgeous plot twist named augustus waters suddenly appears at cancer kid support group hazels story is about to be completely rewritteninsightful bold irreverent and raw the fault in our stars is awardwinning author john greens most ambitious and heartbreaking work yet brilliantly exploring the funny thrilling and tragic business of being alive and in love,"youngadult, romance, fiction, contemporary",4.26,2346404,226,John Green
6,7,The Hobbit,1937,366,in a hole in the ground there lived a hobbit not a nasty dirty wet hole filled with the ends of worms and an oozy smell nor yet a dry bare sandy hole with nothing in it to sit down on or to eat it was a hobbithole and that means comfortwritten for jrr tolkien’s own children the hobbit met with instant critical acclaim when it was first published in 1937 now recognized as a timeless classic this introduction to the hobbit bilbo baggins the wizard gandalf gollum and the spectacular world of middleearth recounts of the adventures of a reluctant hero a powerful and dangerous ring and the cruel dragon smaug the magnificent the text in this 372page paperback edition is based on that first published in great britain by collins modern classics 1998 and includes a note on the text by douglas a anderson 2001,"fantasy, classics, fiction, youngadult",4.25,2071616,969,J.R.R. Tolkien
9,10,Pride and Prejudice,1813,279,alternate cover edition of isbn since its immediate success in 1813 pride and prejudice has remained one of the most popular novels in the english language jane austen called this brilliant work her own darling child and its vivacious heroine elizabeth bennet as delightful a creature as ever appeared in print the romantic clash between the opinionated elizabeth and her proud beau mr darcy is a splendid performance of civilized sparring and jane austens radiant wit sparkles as her characters dance a delicate quadrille of flirtation and intrigue making this book the most superb comedy of manners of regency england,"classics, fiction, romance, historicalfiction",4.24,2035490,3455,Jane Austen
10,11,The Kite Runner,2003,371,the unforgettable heartbreaking story of the unlikely friendship between a wealthy boy and the son of his father’s servant the kite runner is a beautifully crafted novel set in a country that is in the process of being destroyed it is about the power of reading the price of betrayal and the possibility of redemption; and an exploration of the power of fathers over sonstheir love their sacrifices their liesa sweeping story of family love and friendship told against the devastating backdrop of the history of afghanistan over the last thirty years the kite runner is an unusual and powerful novel that has become a beloved oneofakind classickhaledhosseinicom,"fiction, historicalfiction, contemporary, classics",4.26,1813044,283,Khaled Hosseini
11,12,"Divergent (Divergent, #1)",2011,487,in beatrice priors dystopian chicago world society is divided into five factions each dedicated to the cultivation of a particular virtuecandor the honest abnegation the selfless dauntless the brave amity the peaceful and erudite the intelligent on an appointed day of every year all sixteenyearolds must select the faction to which they will devote the rest of their lives for beatrice the decision is between staying with her family and being who she really isshe cant have both so she makes a choice that surprises everyone including herselfduring the highly competitive initiation that follows beatrice renames herself tris and struggles alongside her fellow initiates to live out the choice they have made together they must undergo extreme physical tests of endurance and intense psychological simulations some with devastating consequences as initiation transforms them all tris must determine who her friends really areand where exactly a romance with a sometimes fascinating sometimes exasperating boy fits into the life shes chosen but tris also has a secret one shes kept hidden from everyone because shes been warned it can mean death and as she discovers unrest and growing conflict that threaten to unravel her seemingly perfect society she also learns that her secret might help her save those she loves    or it might destroy her,"youngadult, fiction, fantasy, sciencefiction, romance",4.24,1903563,210,Veronica Roth
12,15,The Diary of a Young Girl,1947,283,discovered in the attic in which she spent the last years of her life anne frank’s remarkable diary has become a world classica powerful reminder of the horrors of war and an eloquent testament to the human spirit in 1942 with the nazis occupying holland a thirteenyearold jewish girl and her family fled their home in amsterdam and went into hiding for the next two years until their whereabouts were betrayed to the gestapo the franks and another family lived cloistered in the “secret annexe” of an old office building cut off from the outside world they faced hunger boredom the constant cruelties of living in confined quarters and the everpresent threat of discovery and death in her diary anne frank recorded vivid impressions of her experiences during this period by turns thoughtful moving and surprisingly humorous her account offers a fascinating commentary on human courage and frailty and a compelling selfportrait of a sensitive and spirited young woman whose promise was tragically cut shortback cover,"nonfiction, classics, history, biography, memoir",4.1,1972666,710,Anne Frank
13,16,"The Girl with the Dragon Tattoo (Millennium, #1)",2005,465,harriet vanger a scion of one of sweden’s wealthiest families disappeared over forty years ago all these years later her aged uncle continues to seek the truth he hires mikael blomkvist a crusading journalist recently trapped by a libel conviction to investigate he is aided by the pierced and tattooed punk prodigy lisbeth salander together they tap into a vein of unfathomable iniquity and astonishing corruptionan international publishing sensation stieg larsson’s the girl with the dragon tattoo combines murder mystery family saga love story and financial intrigue into one satisfyingly complex and entertainingly atmospheric novelalternate cover edition isbn  isbn13 ,"fiction, mystery, suspense, contemporary, thriller, crime",4.11,1808403,274,Stieg Larsson
